V1,V2,V3,V4,V5,Class
Sunny,Mild,Raleigh,1,Cool,F
Sunny,Strong,Raleigh,9,Cool,F
Overcast,Strong,Durham,11,Cool,T
Sunny,Strong,Durham,3,Cool,T
Rain,Strong,Durham,12,Cool,T
Rain,Mild,Raleigh,2,Hot,F
Rain,Mild,Raleigh,19,Hot,T
Overcast,Mild,Durham,4,Cool,F
Overcast,Strong,Raleigh,18,Hot,F
Sunny,Mild,Raleigh,27,Cool,T
Sunny,Mild,Raleigh,8,Cool,T
Overcast,Strong,Durham,6,Cool,T
Sunny,Mild,Durham,21,Hot,F
Overcast,Mild,Raleigh,17,Hot,F
Rain,Mild,Raleigh,22,Hot,T
Sunny,Mild,Raleigh,13,Hot,T
